Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-128-60,Bisecting K-Means (largest split),0.329028,947476386.1,1,0.693147181,1,1
g2-128-60,Bisecting K-Means (worst split),0.359947,947476386.1,1,0.693147181,1,1
g2-128-70,K-Means,0.38104,1290144185,1,0.693147181,1,1
g2-128-70,Bisecting K-Means (largest split),0.350003,1290144185,1,0.693147181,1,1
g2-128-70,Bisecting K-Means (worst split),0.36899,1290144185,1,0.693147181,1,1
g2-128-80,K-Means,0.345015,1670697441,1,0.693147181,1,1
g2-128-80,Bisecting K-Means (largest split),0.526953,1670697441,1,0.693147181,1,1
g2-128-80,Bisecting K-Means (worst split),0.416035,1670697441,1,0.693147181,1,1
g2-128-90,K-Means,1.228998,2126636034,1,0.693147181,1,1
g2-128-90,Bisecting K-Means (largest split),0.811998,2126636034,1,0.693147181,1,1
g2-128-90,Bisecting K-Means (worst split),0.624997,2126636034,1,0.693147181,1,1
g2-128-100,K-Means,1.142999,2630071804,1,0.693147181,1,1
g2-128-100,Bisecting K-Means (largest split),1.38288,2630071804,1,0.693147181,1,1
g2-128-100,Bisecting K-Means (worst split),0.392573,2630071804,1,0.693147181,1,1
g2-256-10,K-Means,0.714434,52499291.77,1,0.693147181,1,1
g2-256-10,Bisecting K-Means (largest split),0.760008,52499291.77,1,0.693147181,1,1
g2-256-10,Bisecting K-Means (worst split),0.813974,52499291.77,1,0.693147181,1,1
g2-256-20,K-Means,0.734992,209612477.4,1,0.693147181,1,1
g2-256-20,Bisecting K-Means (largest split),0.686998,209612477.4,1,0.693147181,1,1
g2-256-20,Bisecting K-Means (worst split),0.698002,209612477.4,1,0.693147181,1,1
g2-256-30,K-Means,0.650146,471907644.6,1,0.693147181,1,1
g2-256-30,Bisecting K-Means (largest split),1.118992,471907644.6,1,0.693147181,1,1
g2-256-30,Bisecting K-Means (worst split),0.847004,471907644.6,1,0.693147181,1,1
g2-256-40,K-Means,0.627921,838551477.7,1,0.693147181,1,1
g2-256-40,Bisecting K-Means (largest split),0.674002,838551477.7,1,0.693147181,1,1
g2-256-40,Bisecting K-Means (worst split),0.756988,838551477.7,1,0.693147181,1,1
g2-256-50,K-Means,1.636995,1309776567,1,0.693147181,1,1
g2-256-50,Bisecting K-Means (largest split),1.09796,1309776567,1,0.693147181,1,1
g2-256-50,Bisecting K-Means (worst split),1.182527,1309776567,1,0.693147181,1,1
g2-256-60,K-Means,0.626999,1883767075,1,0.693147181,1,1
g2-256-60,Bisecting K-Means (largest split),0.753999,1883767075,1,0.693147181,1,1
g2-256-60,Bisecting K-Means (worst split),0.751978,1883767075,1,0.693147181,1,1
